大类	小类	项目
		血友病甲基因分析
		脊髓萎缩症基因分析
		马凡氏综合症基因检测
		其他
	肿瘤基因检测
		白血病融合基因RT-PCR检测
		BCR/ARL融合基因FISH检测
		神经母细胞瘤N-MYC基因检测
		尤因肉瘤EWSRT-PCR基因检测
		淋巴瘤融合基因检测
		骨髓增殖性肿瘤基因(JAK2 V617)F突变
		骨髓增殖性肿瘤基因(JAK2 EXON12)突变
		骨髓增殖性肿瘤基因(MPL W515L/K)突变
		其他
	用药个体化核酸检测
		细胞色素P450(CYP2C9)基因
		细胞色素P450(CYP2C19)基因
		细胞色素P450(CYP2D6)基因
		尿苷二磷酸葡糖醛酸转移酶1A1基因
		5,10-亚甲基四氢叶酸还原酶基因
		乙醛脱氢酶2基因
		维生素K环氧还原酶复合物1基因
		人表皮生长因子受体-2基因
		表皮生长因子受体基因
		β1肾上腺素受体基因
		其他
	其他临床病原微生物核酸检查
		其他
其他检验
	其他检验
		其他检验
