class	code	description
disease	F16.2	使用致幻剂引起的依赖综合征
disease	F16.3	使用致幻剂引起的戒断状态
disease	F16.4	使用致幻剂引起的戒断状态伴有谵妄
disease	F16.5	使用致幻剂引起的精神性障碍
disease	F16.6	使用致幻剂引起的遗忘综合征
disease	F16.7	使用致幻剂引起的残留性和迟发性精神病性障碍
disease	F16.8	使用致幻剂质引起的其他精神和行为障碍
disease	F16.9	使用致幻剂引起的未特指的精神和行为障碍
disease	F17	使用烟草引起的精神和行为障碍
disease	F17.0	使用烟草急性中毒引起的精神和行为障碍
disease	F17.1	有害性使用烟草引起的精神和行为障碍
disease	F17.2	使用烟草引起的依赖综合征
disease	F17.3	使用烟草引起的戒断状态
disease	F17.4	使用烟草引起的戒断状态伴有谵妄
disease	F17.5	使用烟草引起的精神性障碍
disease	F17.6	使用烟草引起的遗忘综合征
disease	F17.7	使用烟草引起的残留性和迟发性精神病性障碍
disease	F17.8	使用烟草质引起的其他精神和行为障碍
disease	F17.9	使用烟草引起的未特指的精神和行为障碍
disease	F18	使用挥发性溶剂引起的精神和行为障碍
disease	F18.0	使用挥发性溶剂急性中毒引起的精神和行为障碍
disease	F18.1	有害性使用挥发性溶剂引起的精神和行为障碍
disease	F18.2	使用挥发性溶剂引起的依赖综合征
disease	F18.3	使用挥发性溶剂引起的戒断状态
disease	F18.4	使用挥发性溶剂引起的戒断状态伴有谵妄
disease	F18.5	使用挥发性溶剂引起的精神性障碍
disease	F18.6	使用挥发性溶剂引起的遗忘综合征
disease	F18.7	使用挥发性溶剂引起的残留性和迟发性精神病性障碍
disease	F18.8	使用挥发性溶剂引起的其他精神和行为障碍
disease	F18.9	使用挥发性溶剂引起的未特指的精神和行为障碍
disease	F19	使用多种药物和其他精神活性物质引起的精神和行为障碍
disease	F19.0	使用多种药物和其他精神活性物质急性中毒引起的精神和行为障碍
disease	F19.1	有害性使用多种药物和其他精神活性物质引起的精神和行为障碍
disease	F19.2	使用多种药物和其他精神活性物质引起的依赖综合征
disease	F19.3	使用多种药物和其他精神活性物质引起的戒断状态
disease	F19.4	使用多种药物和其他精神活性物质引起的戒断状态伴有谵妄
disease	F19.5	使用多种药物和其他精神活性物质引起的精神性障碍
disease	F19.6	使用多种药物和其他精神活性物质引起的遗忘综合征
disease	F19.7	使用多种药物和其他精神活性物质引起的残留性和迟发性精神病性障碍
disease	F19.8	使用多种药物和其他精神活性物质引起的其他精神和行为障碍
disease	F19.9	使用多种药物和其他精神活性物质引起的未特指的精神和行为障碍
disease	F20	精神分裂症
disease	F20.0	偏执型精神分裂症
disease	F20.1	青春型精神分裂症
disease	F20.2	紧张型精神分裂症
disease	F20.3	未分化型精神分裂症
disease	F20.4	精神分裂症后抑郁
disease	F20.5	残留型精神分裂症
disease	F20.6	单纯型精神分裂症
disease	F20.8	其他精神分裂症
disease	F20.9	未特指的精神分裂症
disease	F21	分裂型障碍
disease	F22	持久的妄想性障碍
disease	F22.0	妄想性障碍
disease	F22.8	其他持久的妄想性障碍
disease	F22.9	未特指的持久的妄想性障碍
disease	F23	急性而短暂的精神病性障碍
disease	F23.0	不伴有精神分裂症症状的急性多形性精神病性障碍
disease	F23.1	伴有精神分裂症症状的急性多形性精神病性障碍
disease	F23.2	急性精神分裂症样精神病性障碍
disease	F23.3	其他以妄想为主的急性精神病性障碍
disease	F23.8	其他急性而短暂的精神病性障碍
disease	F23.9	未特指的急性而短暂的精神病性障碍
disease	F24	感应性妄想性障碍
disease	F25	分裂情感性障碍
disease	F25.0	分裂情感性障碍，躁狂型
disease	F25.1	分裂情感性障碍，抑郁型
disease	F25.2	分裂情感性障碍，混合型
disease	F25.8	其他的分裂情感性障碍
disease	F25.9	未特指的分裂情感性障碍
disease	F28	其他非器质性精神病性障碍
disease	F29	未特指的非器质性精神病
disease	F30	躁狂发作
disease	F30.0	轻躁狂
disease	F30.1	不伴有精神病性症状的躁狂
disease	F30.2	伴有精神病性症状的躁狂
disease	F30.8	其他躁狂发作
disease	F30.9	未特指的躁狂发作
disease	F31	双相情感障碍
disease	F31.0	双相情感障碍，目前为轻躁狂发作
disease	F31.1	双相情感障碍，目前为不伴有精神病性症状的躁狂发作
disease	F31.2	双相情感障碍，目前为伴有精神病性症状的躁狂发作
disease	F31.3	双相情感障碍，目前为轻度或中度抑郁发作
disease	F31.4	双相情感障碍，目前为不伴有精神病性症状的重度抑郁发作
disease	F31.5	双相情感障碍，目前为伴有精神病性症状的重度抑郁发作
disease	F31.6	双相情感障碍，目前为混合性发作
disease	F31.7	双相情感障碍，目前为缓解状态
disease	F31.8	其他双相情感障碍
disease	F31.9	未特指的双相情感障碍
disease	F32	抑郁发作
disease	F32.0	轻度抑郁发作
disease	F32.1	中度抑郁发作
disease	F32.2	不伴有精神病性症状的重度抑郁发作
disease	F32.3	伴有精神病性症状的重度抑郁发作
disease	F32.8	其他抑郁发作
disease	F32.9	未特指的抑郁发作
disease	F33	复发性抑郁障碍
disease	F33.0	复发性抑郁障碍，目前为轻度发作
disease	F33.1	复发性抑郁障碍，目前为中度发作
disease	F33.2	复发性抑郁障碍，目前为不伴有精神病性症状的重度发作
disease	F33.3	复发性抑郁障碍，目前为伴有精神病性症状的重度发作
disease	F33.4	复发性抑郁障碍，目前为缓解状态
disease	F33.8	其他复发性抑郁障碍
disease	F33.9	未特指的复发性抑郁障碍
disease	F34	持久的心境[情感]障碍
disease	F34.0	环性气质
disease	F34.1	恶劣心境
disease	F34.8	其他持久的心境[情感]障碍
disease	F34.9	未特指的持久的心境[情感]障碍
disease	F38	其他心境[情感]障碍
disease	F38.0	其他单次发作的心境[情感]障碍
disease	F38.1	其他复发性心境[情感]障碍
disease	F38.8	其他特指的心境[情感]障碍
disease	F39	未特指的心境[情感]障碍
disease	F40	恐怖性焦虑障碍
disease	F40.0	广场恐怖
disease	F40.1	社交恐怖
disease	F40.2	特定的（孤立的）恐怖
disease	F40.8	其他恐怖性焦虑障碍
disease	F40.9	未特指的恐怖性焦虑障碍
disease	F41	其他焦虑障碍
disease	F41.0	惊恐障碍[间歇发作性焦虑]
disease	F41.1	广泛性焦虑障碍
disease	F41.2	混合性焦虑和抑郁障碍
disease	F41.3	其他混合性焦虑障碍
disease	F41.8	其他特指的焦虑障碍
disease	F41.9	未特指的焦虑障碍
disease	F42	强迫性障碍
disease	F42.0	以强迫思维或穷思竭虑为主
disease	F42.1	以强迫动作[强迫仪式]为主
disease	F42.2	混合性强迫思维和动作
disease	F42.8	其他强迫性障碍
disease	F42.9	未特指的强迫性障碍
disease	F43	严重应激反应及适应障碍
disease	F43.0	急性应激反应
disease	F43.1	创伤后应激障碍
disease	F43.2	适应障碍
disease	F43.8	其他严重应激反应
disease	F43.9	未特指的严重应激反应
disease	F44	分离[转换]性障碍
disease	F44.0	分离性遗忘
disease	F44.1	分离性神游
disease	F44.2	分离性木僵
disease	F44.3	昼游和附体障碍
disease	F44.4	分离性运动障碍
disease	F44.5	分离性抽搐
disease	F44.6	分离性感觉麻木和感觉丧失
disease	F44.7	混合性分离[转换]性障碍
disease	F44.8	其他分离[转换]性障碍
disease	F44.9	未特指的分离[转换]性障碍
disease	F45	躯体形式障碍
disease	F45.0	躯体化障碍
disease	F45.1	未分化的躯体形式障碍
disease	F45.2	疑病障碍
disease	F45.3	躯体形式的自主神经功能紊乱
disease	F45.4	持久的躯体形式的疼痛障碍
disease	F45.8	其他躯体形式障碍
disease	F45.9	未特指的躯体形式障碍
disease	F48	其他神经症性障碍
disease	F48.0	神经衰弱
disease	F48.1	人格解体-现实解体综合征
disease	F48.8	其他特指的神经症性障碍
disease	F48.9	未特指的神经症性障碍
disease	F50	进食障碍
disease	F50.0	神经性厌食
disease	F50.1	非典型神经性厌食
disease	F50.2	神经性贪食
disease	F50.3	非典型神经性贪食
disease	F50.4	与其他心理紊乱有关的暴食
disease	F50.5	与其他心理紊乱有关的呕吐
disease	F50.8	其他进食障碍
disease	F50.9	未特指的进食障碍
disease	F51	非器质性睡眠障碍
disease	F51.0	非器质性失眠症
disease	F51.1	非器质性睡眠过度
disease	F51.2	非器质性睡眠-觉醒节律障碍
disease	F51.3	睡行症[夜游症]
disease	F51.4	睡惊症[夜惊症]
disease	F51.5	梦魇
disease	F51.8	其他非器质性睡眠障碍
disease	F51.9	未特指的非器质性睡眠障碍
disease	F52	性功能障碍，非由器质性障碍或疾病引起
disease	F52.0	性欲减退或缺失
disease	F52.1	性厌恶和性乐缺乏
disease	F52.2	生殖器反应丧失
disease	F52.3	性高潮功能障碍
disease	F52.4	早泄
disease	F52.5	非器质性阴道痉挛
disease	F52.6	非器质性性交疼痛
disease	F52.7	性欲亢进
disease	F52.8	其他性功能障碍，非由器质性障碍或疾病引起
disease	F52.9	未特指的性功能障碍，非由器质性障碍或疾病引起
disease	F53	与产褥期有关的精神和行为障碍，不可归类在他处者
disease	F53.0	与产褥期有关的轻度精神和行为障碍，不可归类在他处者
disease	F53.1	与产褥期有关的重度精神和行为障碍，不可归类在他处者
disease	F53.8	其他与产褥期有关的精神和行为障碍，不可归类在他处者
disease	F53.9	未特指的产褥期精神障碍
disease	F54	与归类在他处的障碍或疾病有关的心理和行为因素
disease	F55	非致依赖性物质滥用
disease	F59	与生理紊乱和躯体因素有关的未特指的行为综合征
disease	F60	特异性人格障碍
disease	F60.0	偏执型人格障碍
disease	F60.1	分裂样人格障碍
disease	F60.2	社交紊乱型人格障碍
disease	F60.3	情绪不稳型人格障碍
disease	F60.4	表演型人格障碍
disease	F60.5	强迫型人格障碍
disease	F60.6	焦虑[回避]型人格障碍
disease	F60.7	依赖型人格障碍
disease	F60.8	其他特指的人格障碍
disease	F60.9	未特指的人格障碍
disease	F61	混合型和其他人格障碍
disease	F62	持久性人格改变，非由脑损害和疾病所致
disease	F62.0	灾难性经历后的持久性人格改变
disease	F62.1	精神科疾病后持久性人格改变
disease	F62.8	其他持久性人格改变
disease	F62.9	未特指的持久性人格改变
disease	F63	习惯和冲动障碍
disease	F63.0	病理性赌博
disease	F63.1	病理性纵火[纵火狂]
disease	F63.2	病理性偷窃[偷窃狂]
disease	F63.3	拔毛狂
disease	F63.8	其他习惯和冲动障碍
disease	F63.9	未特指的习惯和冲动障碍
disease	F64	性身份障碍
disease	F64.0	易性症
disease	F64.1	双重异装症
disease	F64.2	童年期性身份障碍
disease	F64.8	其他性身份障碍
disease	F64.9	未特指的性身份障碍
disease	F65	性偏好障碍
disease	F65.0	恋物症
disease	F65.1	恋物性异装症
disease	F65.2	露阴症
disease	F65.3	窥淫症
disease	F65.4	恋童症
disease	F65.5	施虐受虐症
disease	F65.6	性偏好多相障碍
disease	F65.8	其他性偏好障碍
disease	F65.9	未特指的性偏好障碍
disease	F66	与性发育和性取向有关的心理和行为障碍
disease	F66.0	性成熟障碍
disease	F66.1	自我不和谐的性取向
disease	F66.2	性关系障碍
disease	F66.8	其他性心理发育障碍
disease	F66.9	未特指的性心理发育障碍
disease	F68	成人人格和行为的其他障碍
disease	F68.0	由于心理原因渲染的躯体症状
disease	F68.1	有意制造或伪装的躯体或心理性的症状或残疾[做作性障碍]
disease	F68.8	其他特指的成人人格和行为障碍
disease	F69	未特指的成人人格和行为障碍
disease	F70	轻度精神发育迟缓
disease	F70.0	轻度精神发育迟缓，无或轻微行为缺陷的
disease	F70.1	轻度精神发育迟缓，需要加以关注或治疗的显著行为缺陷
disease	F70.8	轻度精神发育迟缓，其他行为缺陷
disease	F70.9	轻度精神发育迟缓，未提及行为缺陷的
disease	F71	中度精神发育迟缓
disease	F71.0	中度精神发育迟缓，无或轻微行为缺陷的
disease	F71.1	中度精神发育迟缓，需要加以关注或治疗的显著行为缺陷
disease	F71.8	中度精神发育迟缓，其他的行为缺陷
disease	F71.9	中度精神发育迟缓，未提及行为缺陷的
disease	F72	重度精神发育迟缓
disease	F72.0	重度精神发育迟缓，无或轻微行为缺陷的
disease	F72.1	重度精神发育迟缓，需要加以关注或治疗的显著行为缺陷
disease	F72.8	重度精神发育迟缓，其他行为缺陷
disease	F72.9	重度精神发育迟缓，未提及行为缺陷的
disease	F73	极重度精神发育迟缓
disease	F73.0	极重度精神发育迟缓，无或轻微行为缺陷的
disease	F73.1	极重度精神发育迟缓，需要加以关注或治疗的显著行为缺陷
disease	F73.8	极重度精神发育迟缓，其他行为缺陷
disease	F73.9	极重度精神发育迟缓，未提及行为缺陷的
disease	F78	其他精神发育迟缓
disease	F78.0	其他的精神发育迟缓，无或轻微行为缺陷的
disease	F78.1	其他精神发育迟缓，需要加以关注或治疗的显著行为缺陷
disease	F78.8	其他精神发育迟缓，其他行为缺陷的
disease	F78.9	精神发育迟缓其他的，未提及行为缺陷
disease	F79	未特指的精神发育迟缓
disease	F79.0	未特指的精神发育迟缓，无或轻微行为缺陷的
disease	F79.1	未特指的精神发育迟缓，需要加以关注或治疗的显著行为缺陷
disease	F79.8	未特指的精神发育迟缓引起的，其他的
disease	F79.9	未特指的精神发育迟缓，未提及行为缺陷
disease	F80	特定性言语和语言发育障碍
disease	F80.0	特定性言语构音障碍
disease	F80.1	表达性语言障碍
disease	F80.2	感受性语言障碍
disease	F80.3	伴有癫癎的后天性失语[兰道-克勒夫纳综合征]
disease	F80.8	其他言语和语言发育障碍
disease	F80.9	未特指的言语和语言发育障碍
disease	F81	特定性学习技能发育障碍
disease	F81.0	特定性阅读障碍
disease	F81.1	特定性拼写障碍
disease	F81.2	特定性计算技能障碍
disease	F81.3	混合性学习技能障碍
disease	F81.8	其他学习技能发育障碍
disease	F81.9	未特指的学习技能发育障碍
disease	F82	特定性运动功能发育障碍
disease	F83	混合性特定性发育障碍
disease	F84	弥漫性[综合性]发育障碍
disease	F84.0	童年孤独症
disease	F84.1	不典型孤独症
disease	F84.2	雷特综合征
disease	F84.3	其他童年瓦解性障碍
disease	F84.4	与精神发育迟缓和刻板动作有关的多动障碍
disease	F84.5	阿斯珀格综合征
disease	F84.8	其他弥漫性[综合性]发育障碍
disease	F84.9	未特指的弥漫性[综合性]发育障碍
disease	F88	其他心理发育障碍
disease	F89	未特指的心理发育障碍
disease	F90	多动性障碍
disease	F90.0	活动与注意失调
disease	F90.1	多动性品行障碍
disease	F90.8	其他多动性障碍
disease	F90.9	未特指的多动性障碍
disease	F91	品行障碍
disease	F91.0	局限于家庭的品行障碍
disease	F91.1	非社会化的品行障碍
disease	F91.2	社会化的品行障碍
disease	F91.3	对立违抗性障碍
disease	F91.8	其他品行障碍
disease	F91.9	未特指的品行障碍
disease	F92	品行和情绪混合性障碍
disease	F92.0	抑郁性品行障碍
disease	F92.8	其他品行和情绪混合性障碍
disease	F92.9	未特指的品行和情绪混合性障碍
disease	F93	特发于童年的情绪障碍
disease	F93.0	童年离别焦虑障碍
disease	F93.1	童年恐怖性焦虑障碍
disease	F93.2	童年社交性焦虑障碍
disease	F93.3	同胞竞争障碍
disease	F93.8	其他童年情绪障碍
disease	F93.9	未特指的童年情绪障碍
disease	F94	特发于童年和青少年期的社会功能障碍
disease	F94.0	选择性缄默症
disease	F94.1	童年反应性依恋障碍
disease	F94.2	童年脱抑制性依恋障碍
disease	F94.8	童年其他社会功能障碍
disease	F94.9	未特指的童年社会功能障碍
disease	F95	抽动障碍
disease	F95.0	一过性抽动障碍
disease	F95.1	慢性运动或发声抽动障碍
disease	F95.2	发声和多种运动联合抽动障碍[德拉图雷特综合征]
disease	F95.8	其他抽动障碍
disease	F95.9	未特指的抽动障碍
disease	F98	通常在童年和青少年期发病的其他行为和情绪障碍
disease	F98.0	非器质性遗尿症
disease	F98.1	非器质性遗粪症
disease	F98.2	婴儿和儿童期的喂养障碍
disease	F98.3	婴幼儿和童年异食癖
disease	F98.4	刻板性运动障碍
disease	F98.5	口吃[结巴]
disease	F98.6	言语急促杂乱
disease	F98.8	通常在童年和青少年期发病的其他特指的行为和情绪障碍
disease	F98.9	通常在童年和青少年期发病的未特指的行为和情绪障碍
disease	F99	精神障碍，其他方面未特指
disease	G00	细菌性脑膜炎，不可归类在他处者
disease	G00.0	嗜血杆菌脑膜炎
disease	G00.1	肺炎球菌性脑膜炎
disease	G00.2	链球菌性脑膜炎
disease	G00.3	葡萄球菌性脑膜炎
disease	G00.8	细菌性脑膜炎，其他的
disease	G00.9	细菌性脑膜炎
disease	G01*	分类于他处的细菌性疾病引起的脑膜炎
disease	G02*	分类于他处的其他传染病和寄生虫病引起的脑膜炎
disease	G02.0*	分类于他处的病毒性疾病引起的脑膜炎
disease	G02.1*	真菌病脑膜炎
disease	G02.8*	分类于他处的其他特指的传染病和寄生虫病引起的脑膜炎
disease	G03	其他和未特指原因引起的脑膜炎
disease	G03.0	非化脓性脑膜炎
disease	G03.1	慢性脑膜炎
disease	G03.2	良性复发性脑膜炎[莫拉利特]
disease	G03.8	其他特指原因引起的脑膜炎
disease	G03.9	未特指的脑膜炎
disease	G04	脑炎、脊髓炎和脑脊髓炎
disease	G04.0	急性播散性脑炎
disease	G04.1	人嗜T淋巴细胞病毒相关性脊髓病
disease	G04.2	细菌性脑膜脑炎和脊髓脊膜炎，不可归类在他处者
disease	G04.8	其他脑炎、脊髓炎和脑脊髓炎
disease	G04.9	未特指的脑炎、脊髓炎和脑脊髓炎
disease	G05*	分类于他处的疾病引起的脑炎、脊髓炎和脑脊髓炎
disease	G05.0*	分类于他处的细菌性疾病引起的脑炎、脊髓炎和脑脊髓炎
disease	G05.1*	分类于他处的病毒性疾病引起的脑炎、脊髓炎和脑脊髓炎
disease	G05.2*	分类于他处的其他传染病和寄生虫病引起的脑炎、脊髓炎和脑脊髓炎
disease	G05.8*	分类于他处的其他疾病引起的脑炎、脊髓炎和脑脊髓炎
disease	G06	颅内和椎管内脓肿及肉芽肿
disease	G06.0	颅内脓肿和肉芽肿
disease	G06.1	椎管内脓肿和肉芽肿
disease	G06.2	未特指的硬膜外和硬膜下脓肿
disease	G07*	分类于他处的疾病引起的颅内、椎管内脓肿和肉芽肿
disease	G08	颅内和椎管内的静脉炎和血栓性静脉炎
disease	G09	中枢神经系统炎性疾病的后遗症
disease	G10	亨廷顿病
disease	G11	遗传性共济失调
disease	G11.0	先天性非进行性共济失调
disease	G11.1	早期发病的小脑性共济失调
disease	G11.2	晚期发病的小脑性共济失调
disease	G11.3	小脑共济失调伴有脱氧核糖核酸[DNA]修复缺陷
disease	G11.4	遗传性痉挛性截瘫
disease	G11.8	其他遗传性共济失调
disease	G11.9	未特指的遗传性共济失调
disease	G12	脊髓性肌萎缩和有关的综合征
disease	G12.0	婴儿脊髓性肌萎缩，Ⅰ型[韦德尼希-霍夫曼]
disease	G12.1	其他遗传性脊髓性肌萎缩
disease	G12.2	运动神经元病
disease	G12.8	其他脊髓性肌萎缩和有关的综合征
disease	G12.9	未特指的脊髓性肌萎缩
disease	G13*	分类于他处的疾病引起的主要影响中枢神经系统的全身性萎缩
disease	G13.0*	癌旁神经肌病和神经病
disease	G13.1*	肿瘤病引起的主要影响中枢神经系统的其他全身性萎缩
disease	G13.2*	"粘液水肿引起的主要影响中枢神经系统的全身性萎缩（E00.1+,E03.-+）"
disease	G13.8*	分类于他处的其他疾病引起的主要影响中枢神经系统的全身性萎缩
disease	G14	脊髓灰质炎后综合征
disease	G20	帕金森病
disease	G21	继发性帕金森综合征
disease	G21.0	恶性抗精神病药综合征
disease	G21.1	其他药物性继发性帕金森综合征
disease	G21.2	其他外部因素引起的继发性帕金森综合征
disease	G21.3	脑炎后帕金森综合征
disease	G21.4	血管性帕金森综合征
disease	G21.8	其他继发性帕金森综合征
disease	G21.9	未特指的继发性帕金森综合征
disease	G22*	分类于他处的疾病引起的帕金森综合征
disease	G23	其他的基底核变性疾病
disease	G23.0	哈勒沃登-施帕茨病
disease	G23.1	进行性核上性眼肌麻痹[斯蒂尔-里查森-奥尔谢夫斯基]
disease	G23.2	多系统萎缩，帕金森病型[MSA-P]
disease	G23.3	多系统萎缩，小脑型[MSA-C]
disease	G23.8	其他特指的基底核退化性疾病
disease	G23.9	未特指的基底核变性疾病
disease	G24	张力失常
disease	G24.0	药物性张力失常
disease	G24.1	特发性家族性张力失常
disease	G24.2	特发性非家族性张力失常
disease	G24.3	痉挛性斜颈
disease	G24.4	特发性口面运动障碍
disease	G24.5	睑痉挛
disease	G24.8	其他张力失常
disease	G24.9	未特指的张力失常
disease	G25	其他锥体束外和运动疾患
disease	G25.0	特发性震颤
disease	G25.1	药物性震颤
disease	G25.2	其他特指型震颤
disease	G25.3	肌阵挛
disease	G25.4	药物性舞蹈症
disease	G25.5	其他舞蹈症
disease	G25.6	药物性抽搐和其他器质性原因的抽搐
disease	G25.8	其他特指的锥体束外和运动疾患
disease	G25.9	未特指的锥体束外和运动疾患
disease	G26*	分类于他处的疾病引起的锥体外系和运动疾患
disease	G30	阿尔茨海默病
disease	G30.0	阿尔茨海默病伴有早期发病
disease	G30.1	阿尔茨海默病伴有晚期发病
disease	G30.8	其他阿尔茨海默病
disease	G30.9	未特指的阿尔茨海默病
disease	G31	神经系统的其他变性性疾病，不可归类在他处者
disease	G31.0	局限性脑萎缩
disease	G31.1	老年性脑变性，不可归类在他处者
disease	G31.2	酒精性神经系统变性
disease	G31.8	神经系统其他特指的变性性疾病
disease	G31.9	神经系统未特指的变性性疾病
disease	G32*	分类于他处的疾病引起的神经系统其他变性性疾患
disease	G32.0*	分类于他处的疾病引起的脊髓亚急性混合变性
disease	G32.8*	分类于他处的疾病引起的神经系统其他特指的变性性疾患
disease	G35	多发性硬化
disease	G36	其他急性播散性脱髓鞘
disease	G36.0	视神经脊髓炎[德维克]
disease	G36.1	急性和亚急性出血性白质脑炎[赫斯特]
disease	G36.8	其他特指的急性播散性脱髓鞘
disease	G36.9	未特指的急性播散性脱髓鞘
disease	G37	中枢神经系统的其他脱髓鞘疾病
disease	G37.0	弥漫性硬化
disease	G37.1	胼胝体中枢性脱髓鞘
disease	G37.2	中枢性脑桥髓鞘破坏
disease	G37.3	中枢神经系统脱髓鞘病的急性横贯性脊髓炎
disease	G37.4	亚急性坏死性脊髓炎
disease	G37.5	同心性硬化［鲍洛］
disease	G37.8	中枢神经系统其他特指的脱髓鞘疾病
disease	G37.9	未特指的中枢神经系统脱髓鞘病
disease	G40	癫癎[癫痫]
disease	G40.0	局部相关性（局灶性）（部分）特发性癫癎和伴有局限性发作的癫癎综合征
disease	G40.1	局部相关性（局灶性）（部分）症状性癫癎和伴有简单部分发作的癫癎综合征
disease	G40.2	局部相关性（局灶性）（部分）症状性癫癎和伴有复杂部分发作的癫癎综合征
disease	G40.3	全身性特发性癫癎和癫癎综合征
disease	G40.4	其他全身性癫癎和癫癎综合征
disease	G40.5	特指的癫癎综合征
disease	G40.6	未特指的癫癎大发作（伴有或不伴有小发作）
disease	G40.7	未特指的癫癎小发作，不伴有大发作
disease	G40.8	其他癫癎
disease	G40.9	未特指的癫癎
disease	G41	癫癎持续状态
disease	G41.0	癫癎大发作持续状态
disease	G41.1	癫癎小发作持续状态
disease	G41.2	复杂部分性癫癎持续状态
disease	G41.8	其他癫癎持续状态
disease	G41.9	未特指的癫癎持续状态
disease	G43	偏头痛
disease	G43.0	偏头痛不伴有先兆[普通偏头痛]
disease	G43.1	偏头痛伴有先兆[典型偏头痛]
disease	G43.2	偏头痛状态
disease	G43.3	复杂性偏头痛
disease	G43.8	其他偏头痛
disease	G43.9	未特指的偏头痛
disease	G44	其他头痛综合征
disease	G44.0	丛集性头痛综合征
disease	G44.1	血管性头痛，不可归类在他处者
disease	G44.2	紧张型头痛
disease	G44.3	慢性创伤后头痛
disease	G44.4	药物性头痛，不可归类在他处者
disease	G44.8	其他特指的头痛综合征
disease	G45	短暂性大脑缺血性发作和相关的综合征
disease	G45.0	椎基底动脉综合征
disease	G45.1	颈动脉综合征（大脑半球的）
disease	G45.2	多发性和双侧入脑前动脉综合征
disease	G45.3	一过性黑矇
disease	G45.4	短暂性完全性遗忘
disease	G45.8	其他短暂性大脑缺血性发作和相关的综合征
disease	G45.9	未特指的短暂性大脑缺血性发作
disease	G46*	脑血管疾病引起的脑血管综合征（I60-I67+）
disease	G46.0*	大脑中动脉综合征（I66.0+）
disease	G46.1*	大脑前动脉综合征（I66.1+）
disease	G46.2*	大脑后动脉综合征（I66.2+）
disease	G46.3*	脑干卒中发作综合征（I60-I67+）
disease	G46.4*	小脑卒中发作综合征（I60-I67+）
disease	G46.5*	单纯运动性腔隙综合征（I60-I67+）
disease	G46.6*	单纯感觉性腔隙综合征（I60-I67+）
disease	G46.7*	其他腔隙综合征（I60-I67+）
disease	G46.8*	脑血管疾病引起的其他脑血管综合征（I60-I67+）
disease	G47	睡眠障碍
disease	G47.0	初发性或维持性睡眠障碍［失眠症］
disease	G47.1	过度嗜眠障碍［睡眠过度］
disease	G47.2	睡眠-觉醒节律障碍
disease	G47.3	睡眠呼吸暂停
disease	G47.4	发作性睡病和猝倒症
disease	G47.8	其他睡眠障碍
disease	G47.9	未特指的睡眠障碍
disease	G50	三叉神经疾患
disease	G50.0	三叉神经痛
disease	G50.1	非典型性面部痛
disease	G50.8	三叉神经的其他疾患
disease	G50.9	未特指的三叉神经疾患
disease	G51	面神经疾患
disease	G51.0	贝尔面瘫
disease	G51.1	膝状神经节炎
disease	G51.2	梅尔克松综合征
disease	G51.3	阵挛性半面痉挛
disease	G51.4	面肌纤维抽搐
disease	G51.8	面神经的其他疾患
disease	G51.9	未特指的面神经疾患
disease	G52	其他脑神经疾患
disease	G52.0	嗅神经疾患
disease	G52.1	舌咽神经疾患
disease	G52.2	迷走神经疾患
disease	G52.3	舌下神经疾患
disease	G52.7	多发脑神经疾患
disease	G52.8	其他特指的脑神经疾患
disease	G52.9	未特指的脑神经疾患
disease	G53*	分类于他处的疾病引起的脑神经疾患
disease	G53.0*	带状疱疹后神经痛（B02.2+）
disease	G53.1*	分类于他处的传染病和寄生虫病引起的多发性脑神经麻痹（A00-B99+）
disease	G53.2*	结节病引起的多发性脑神经麻痹（D86.8+）
disease	G53.3*	肿瘤病引起的多发性脑神经麻痹（C00-D48+）
disease	G53.8*	分类于他处的其他疾病引起的其他脑神经疾患
disease	G54	神经根和神经丛疾患
disease	G54.0	臂丛疾患
disease	G54.1	腰骶丛疾患
disease	G54.2	颈神经根疾患，不可归类在他处者
disease	G54.3	胸神经根疾患，不可归类在他处者
disease	G54.4	腰骶神经根疾患，不可归类在他处者
disease	G54.5	神经痛性肌萎缩
disease	G54.6	幻肢综合征伴有疼痛
disease	G54.7	幻肢综合征不伴有疼痛
disease	G54.8	其他神经根和神经丛疾患
disease	G54.9	未特指的神经根和神经丛疾患
disease	G55*	分类于他处的疾病引起的神经根和神经丛压迫
disease	G55.0*	肿瘤病引起的神经根和神经丛压迫（C00-D48+）
disease	G55.1*	椎间盘疾患引起的神经根和神经丛压迫（M50-M51+）
disease	G55.2*	脊椎关节强硬引起的神经根和神经丛压迫（M47.-+）
disease	G55.3*	"其他背部病引起的神经根和神经丛压迫（M45-M46+,M48.-+,M53-M54+）"
disease	G55.8*	分类于他处的其他疾病引起的神经根和神经丛压迫
disease	G56	上肢单神经病
disease	G56.0	腕管综合征
disease	G56.1	正中神经的其他损害
disease	G56.2	尺神经损害
disease	G56.3	桡神经损害
disease	G56.8	上肢其他单神经病
disease	G56.9	未特指的上肢单神经病
disease	G57	下肢单神经病
disease	G57.0	坐骨神经损害
disease	G57.1	感觉异样性股痛
disease	G57.2	股神经损害
disease	G57.3	外腘神经损害
disease	G57.4	中腘神经损害
disease	G57.5	跗管综合征
disease	G57.6	跖神经损害
disease	G57.8	下肢其他单神经病
disease	G57.9	未特指的下肢单神经病
disease	G58	其他单神经病
disease	G58.0	肋间神经病
disease	G58.7	多发性单神经炎
disease	G58.8	其他特指的单神经病
disease	G58.9	未特指的单神经病
disease	G59*	分类于他处的疾病引起的单神经病
